id,ranking
8348,1
7804,2
7523,3
3443,4
5905,5
2890,6
3100,7
5822,8
635,9
6089,10
6487,11
3307,12
2204,13
641,14
1050,15
741,16
510,17
281,18
2202,19
4121,20
7920,21
5622,22
3011,23
8152,24
6153,25
5949,26
755,27
1839,28
7971,29
8498,30
9280,31
4464,32
5577,33
5217,34
6965,35
5795,36
372,37
2924,38
4178,39
2491,40
8219,41
6915,42
5314,43
2386,44
2460,45
4156,46
2140,47
1021,48
2711,49
6145,50
7191,51
9265,52
2243,53
4513,54
5787,55
8105,56
5684,57
4874,58
2680,59
6466,60
3831,61
1684,62
9203,63
6704,64
3636,65
6297,66
3991,67
7942,68
9804,69
460,70
1526,71
8553,72
7219,73
8909,74
1748,75
4830,76
2560,77
6794,78
1714,79
7342,80
9756,81
5573,82
4850,83
5056,84
2132,85
3943,86
3763,87
5489,88
8581,89
8840,90
3107,91
5336,92
5299,93
9997,94
7660,95
9957,96
1190,97
5668,98
8063,99
3707,100
9838,101
6231,102
5690,103
4472,104
8531,105
2146,106
1119,107
1547,108
6164,109
8884,110
5066,111
6784,112
7756,113
7337,114
7860,115
7898,116
9825,117
6586,118
1162,119
9991,120
3393,121
6649,122
2698,123
9955,124
7252,125
9474,126
4087,127
2424,128
5002,129
89,130
9749,131
1972,132
8753,133
4954,134
6491,135
117,136
5312,137
7458,138
9129,139
3211,140
7914,141
2967,142
9497,143
4324,144
8957,145
9909,146
8299,147
8857,148
8307,149
7127,150
2566,151
1651,152
2904,153
7602,154
7671,155
2681,156
8127,157
8958,158
2066,159
5742,160
3493,161
1508,162
2338,163
5944,163
2938,165
1658,166
4747,167
8472,168
3603,169
5670,170
9038,171
4506,172
9314,173
3684,174
7656,175
8851,176
2940,177
8785,178
7057,179
7996,180
5234,181
9916,182
7261,183
1374,184
8386,185
8191,186
9368,187
8867,188
6275,189
3489,190
6304,191
8805,192
198,193
8780,194
2249,195
1478,196
2484,197
7846,198
9160,199
1886,200
5412,201
7121,202
3871,203
987,204
9960,205
5132,206
8750,207
6795,208
5761,209
5253,210
1935,211
3609,211
2329,213
7076,214
344,215
8865,216
1903,217
